,Population (in thousands) total,Population (in thousands) total,Population (in thousands) total,Population median age (years),Population living in urban areas (%),Population living on &lt;$1 (PPP int. $) a day (%)
Lithuania,2878.4,2916.8,2963.8,39.3,67,&lt;2.0
Luxembourg,567.1,556.6,544.9,39,90,
Madagascar,24235.4,23571.7,22924.6,18.4,34,87.7
Malawi,17215.2,16695.3,16190.1,17.2,16,72.2
Malaysia,30331,29902,29465.4,27.4,73,&lt;2.0
Maldives,363.7,357.4,351.1,25,43,
Mali,17599.7,17086,16592.1,16.3,38,50.6
Malta,418.7,417.7,416.7,40.9,95,
Marshall Islands,53,52.9,52.8,,72,
Mauritania,4067.6,3969.6,3872.7,19.8,59,23.4
Mauritius,1273.2,1268.6,1263.6,34.6,40,&lt;2.0
Mexico,127017,125386,123740,27,79,&lt;2.0
Micronesia (Federated States of),104.5,104,103.7,21,22,
Monaco,37.7,37.6,37.5,,100,
Mongolia,2959.1,2909.9,2859.2,26.8,70,
Montenegro,625.8,625.3,624.6,37.1,64,&lt;2.0
Morocco,34377.5,33921.2,33452.7,27,59,2.6
Mozambique,27977.9,27216.3,26467.2,17.3,32,60.7
Myanmar,53897.2,53437.2,52983.8,29,33,
Namibia,2458.8,2402.9,2346.6,21.2,45,23.5
Nauru,10.2,10.2,10.1,,100,
Nepal,28513.7,28174.7,27835,22.4,18,23.7
Netherlands,16924.9,16868,16809.2,41.8,89,&lt;2.0
New Zealand,4528.5,4495.5,4465.3,37,86,
Nicaragua,6082,6013.9,5945.6,23.1,58,8.5
Niger,19899.1,19113.7,18358.9,15,18,40.8
Nigeria,182202,177476,172817,17.8,46,62
Niue,1.6,1.6,1.6,,41,
Norway,5211,5148,5083.5,39,80,&lt;2.0
Oman,4490.5,4236.1,3906.9,26.3,77,
Pakistan,188925,185044,181193,22.5,38,12.7
Palau,21.3,21.1,20.9,,86,
Panama,3929.1,3867.5,3805.7,27.9,66,4
Papua New Guinea,7619.3,7463.6,7308.9,20.9,13,
Paraguay,6639.1,6552.5,6465.7,23.9,59,3
Peru,31376.7,30973.1,30565.5,26.5,78,2.9
Philippines,100699,99138.7,97571.7,23,45,19
Poland,38611.8,38620,38618.7,38.8,61,&lt;2.0
Portugal,10349.8,10402.3,10459.7,42.2,62,
Qatar,2235.4,2172.1,2101.3,31.7,99,
Republic of Korea,50293.4,50074.4,49846.8,39.4,82,
Republic of Moldova,4068.9,4072.3,4073.7,35.8,45,&lt;2.0
Romania,19511.3,19651.6,19794.2,39.4,54,&lt;2.0
Russian Federation,143457,143429,143367,38.3,74,&lt;2.0
Rwanda,11609.7,11341.5,11078.1,18.2,27,63
Saint Kitts and Nevis,55.6,54.9,54.3,,32,
Saint Lucia,185,183.6,182.3,30.5,19,
Saint Vincent and the Grenadines,109.5,109.4,109.3,29,50,
Samoa,193.2,191.8,190.4,21,19,
San Marino,31.8,31.6,31.4,,94,
Sao Tome and Principe,190.3,186.3,182.4,19.2,64,43.5
Saudi Arabia,31540.4,30886.5,30201.1,27.5,83,
Senegal,15129.3,14672.6,14221,18.1,43,34.1
Serbia,8851,8892.8,8937.6,38.7,55,&lt;2.0
Seychelles,96.5,95.9,95.2,32.6,53,&lt;2.0
Sierra Leone,6453.2,6315.6,6178.9,19.1,39,56.6
Singapore,5603.7,5506.6,5405,38.1,100,
Slovakia,5426.3,5422.9,5419.3,38.2,54,&lt;2.0
Slovenia,2067.5,2066.1,2064.8,42.4,50,&lt;2.0
Solomon Islands,583.6,572.2,560.7,19.7,21,
Somalia,10787.1,10517.6,10268.2,16.3,39,
South Africa,54490.4,53969.1,53416.6,26,64,9.4
South Sudan,12339.8,11911.2,11453.8,18.6,18,
Spain,46121.7,46259.7,46455.2,41.4,79,2.3
Sri Lanka,20715,20619,20522,31.4,18,4.1
Sudan,40234.9,39350.3,38515.1,19.2,34,19.8
Suriname,543,538.2,533.5,28.5,66,
Swaziland,1287,1269.1,1250.6,20.1,21,39.3
Sweden,9779.4,9703.2,9624.2,41,86,
Switzerland,8298.7,8211.4,8118.7,42,74,
Syrian Arab Republic,18502.4,18772.5,19322.6,22.4,57,
Tajikistan,8481.9,8295.8,8111.9,21.7,27,6.5
Thailand,67959.4,67726,67451.4,36.9,48,&lt;2.0
The former Yugoslav republic of Macedonia,2078.5,2075.6,2072.5,37.1,57,&lt;2.0
Timor-Leste,1184.8,1157.4,1129.3,16.6,32,34.9
Togo,7304.6,7115.2,6928.7,18.9,39,52.5
Tonga,106.2,105.6,105.1,21.3,24,
Trinidad and Tobago,1360.1,1354.5,1348.2,33.3,9,
Tunisia,11253.6,11130.2,11005.7,30.3,67,&lt;2.0
Turkey,78665.8,77523.8,76223.6,29.4,72,&lt;2.0
Turkmenistan,5373.5,5307.2,5240.1,25.6,49,
Tuvalu,9.9,9.9,9.9,,58,
Uganda,39032.4,37783,36573.4,15.8,15,37.8
Ukraine,44823.8,45002.5,45165.2,39.7,69,&lt;2.0
United Arab Emirates,9157,9086.1,9040,30,85,
United Kingdom of Great Britain and Northern Ireland,64715.8,64331.3,63955.7,40.2,82,&lt;2.0
United Republic of Tanzania,53470.4,51822.6,50213.5,17.5,30,43.5
United States of America,321774,319449,317136,37.4,81,&lt;2.0
Uruguay,3431.6,3419.5,3408,34.4,95,&lt;2.0
Uzbekistan,29893.5,29469.9,29033.4,25.3,36,
Vanuatu,264.7,258.9,253.2,21.7,26,
Venezuela (Bolivarian Republic of),31108.1,30693.8,30276,27,89,
Viet Nam,93447.6,92423.3,91378.8,29.8,32,2.4
Yemen,26832.2,26183.7,25533.2,19.1,34,
Zambia,16211.8,15721.3,15246.1,16.6,40,74.3
Zimbabwe,15602.8,15245.9,14898.1,19.5,33,
