GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,Comments
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2015,2015,,AMR,Americas,,LCA,Saint Lucia,, 1 [ 1 -  2],1,1,2,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,AFR,Africa,,MWI,Malawi,, 957 [ 726 - 1 240],957,726,1240,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,WPR,Western Pacific,,KOR,Republic of Korea,, 21 [ 19 -  24],21,19,24,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,AFR,Africa,,NGA,Nigeria,, 814 [ 596 - 1 180],814,596,1180,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,1990,1990,,AFR,Africa,,GHA,Ghana,,3 600 [2 500 - 5 200],3600,2500,5200,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,1990,1990,,AMR,Americas,,PER,Peru,,1 700 [1 400 - 2 100],1700,1400,2100,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2015,2015,,EUR,Europe,,AUT,Austria,, 3 [ 2 -  4],3,2,4,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,EMR,Eastern Mediterranean,,IRN,Iran (Islamic Republic of),, 123 [ 98 -  171],123,98,171,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2000,2000,,AFR,Africa,,SEN,Senegal,,1 900 [1 500 - 2 500],1900,1500,2500,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,EUR,Europe,,FRA,France,, 12 [ 11 -  13],12,11,13,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,EUR,Europe,,ITA,Italy,, 8 [ 7 -  9],8,7,9,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,WPR,Western Pacific,,SGP,Singapore,, 12 [ 10 -  15],12,10,15,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,MMR,Myanmar,, 178 [ 121 -  284],178,121,284,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2000,2000,,AFR,Africa,,NER,Niger,,4 800 [3 800 - 6 000],4800,3800,6000,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,1990,1990,,EUR,Europe,,MDA,Republic of Moldova,, 41 [ 37 -  47],41,37,47,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,1990,1990,,AMR,Americas,,BHS,Bahamas,, 3 [ 2 -  4],3,2,4,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,AMR,Americas,,SLV,El Salvador,, 157 [ 134 -  185],157,134,185,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,EUR,Europe,,AUT,Austria,, 8 [ 7 -  10],8,7,10,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,EUR,Europe,,SVN,Slovenia,, 12 [ 10 -  15],12,10,15,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,PRK,Democratic People's Republic of Korea,, 82 [ 37 -  190],82,37,190,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,AFR,Africa,,SWZ,Swaziland,, 586 [ 403 -  846],586,403,846,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,EUR,Europe,,LUX,Luxembourg,, 10 [ 7 -  16],10,7,16,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,EUR,Europe,,MKD,The former Yugoslav republic of Macedonia,, 14 [ 11 -  18],14,11,18,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,EMR,Eastern Mediterranean,,KWT,Kuwait,, 7 [ 5 -  8],7,5,8,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,11 000 [7 200 - 15 000],11000,7200,15000,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,JPN,Japan,, 10 [ 9 -  11],10,9,11,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,EUR,Europe,,LVA,Latvia,, 48 [ 41 -  57],48,41,57,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2000,2000,,AFR,Africa,,STP,Sao Tome and Principe,, 12 [ 7 -  19],12,7,19,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,PAK,Pakistan,, 178 [ 111 -  283],178,111,283,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2000,2000,,EUR,Europe,,LUX,Luxembourg,, 1 [ 1 -  1],1,1,1,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2015,2015,,AFR,Africa,,MLI,Mali,,4 400 [3 400 - 6 200],4400,3400,6200,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,EUR,Europe,,SVK,Slovakia,, 8 [ 7 -  9],8,7,9,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,AFR,Africa,,TCD,Chad,, 856 [ 560 - 1 350],856,560,1350,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,1990,1990,,AFR,Africa,,BEN,Benin,,1 300 [1 100 - 1 700],1300,1100,1700,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,EUR,Europe,,ALB,Albania,, 71 [ 58 -  88],71,58,88,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,WPR,Western Pacific,,PHL,Philippines,, 152 [ 126 -  175],152,126,175,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,SAU,Saudi Arabia,, 12 [ 7 -  20],12,7,20,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,EUR,Europe,,UZB,Uzbekistan,, 36 [ 20 -  65],36,20,65,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,FSM,Micronesia (Federated States of),, 5 [ 2 -  10],5,2,10,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2000,2000,,AMR,Americas,,HTI,Haiti,,1 300 [1 000 - 1 800],1300,1000,1800,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2015,2015,,AFR,Africa,,CMR,Cameroon,,5 100 [3 700 - 7 500],5100,3700,7500,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,VNM,Viet Nam,, 860 [ 650 - 1 200],860,650,1200,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,AMR,Americas,,BRA,Brazil,, 66 [ 64 -  67],66,64,67,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,BHR,Bahrain,, 21 [ 18 -  26],21,18,26,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,India,, 174 [ 139 -  217],174,139,217,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,1990,1990,,SEAR,South-East Asia,,THA,Thailand,, 430 [ 360 -  520],430,360,520,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2015,2015,,AMR,Americas,,CAN,Canada,, 27 [ 20 -  36],27,20,36,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,AMR,Americas,,CHL,Chile,, 31 [ 27 -  34],31,27,34,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,AFR,Africa,,GIN,Guinea,, 976 [ 787 - 1 200],976,787,1200,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2015,2015,,AFR,Africa,,MWI,Malawi,,4 200 [2 800 - 7 200],4200,2800,7200,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,AMR,Americas,,HTI,Haiti,, 625 [ 434 -  842],625,434,842,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FIN,Finland,, 3 [ 2 -  3],3,2,3,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,LKA,Sri Lanka,, 30 [ 26 -  38],30,26,38,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,YEM,Yemen,, 385 [ 274 -  582],385,274,582,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,EUR,Europe,,MKD,The former Yugoslav republic of Macedonia,, 12 [ 10 -  14],12,10,14,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,AFR,Africa,,MDG,Madagascar,, 536 [ 441 -  657],536,441,657,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,AFR,Africa,,TZA,United Republic of Tanzania,, 842 [ 671 - 1 050],842,671,1050,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,IRQ,Iraq,, 520 [ 420 -  660],520,420,660,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,EUR,Europe,,UKR,Ukraine,, 46 [ 41 -  52],46,41,52,
