GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,Comments
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,DOM,Dominican Republic,,65,65,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,NER,Niger,,65.8,65.8,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,COL,Colombia,,90.7,90.7,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EUR,Europe,,UKR,Ukraine,,91.4,91.4,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EMR,Eastern Mediterranean,,SDN,Sudan,,91.7,91.7,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,HTI,Haiti,,17.6,17.6,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,SEAR,South-East Asia,,IDN,Indonesia,,65.5,65.5,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,81.1,81.1,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,MWI,Malawi,,55.6,55.6,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,86.7,86.7,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EUR,Europe,,KAZ,Kazakhstan,,86.7,86.7,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EMR,Eastern Mediterranean,,IRN,Iran (Islamic Republic of),,96.7,96.7,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,NER,Niger,,35,35,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EUR,Europe,,MDA,Republic of Moldova,,46,46,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,RWA,Rwanda,,46.3,46.3,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,BDI,Burundi,,46.7,46.7,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,ZMB,Zambia,,74,74,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,NIC,Nicaragua,,75,75,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,MUS,Mauritius,,88.8,88.8,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,BRA,Brazil,,76.7,76.7,,,"Based on a survey of medicine prices and availability in Rio Grande do Sul State, Brazil."
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,COG,Congo,,31.3,31.3,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,TZA,United Republic of Tanzania,,50,50,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,94,94,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,MEX,Mexico,,42.6,42.6,,,"Based on a survey in Mexico City, Mexico."
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EUR,Europe,,RUS,Russian Federation,,100,100,,,"Based on a survey in Tatarstan province, Russian Federation."
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,WPR,Western Pacific,,MNG,Mongolia,,38.7,38.7,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,ECU,Ecuador,,41.7,41.7,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,BHS,Bahamas,,43.2,43.2,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,STP,Sao Tome and Principe,,56.3,56.3,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,MWI,Malawi,,63.3,63.3,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EUR,Europe,,UKR,Ukraine,,88.6,88.6,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,BDI,Burundi,,58.3,58.3,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,COD,Democratic Republic of the Congo,,65.4,65.4,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,BFA,Burkina Faso,,72.1,72.1,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,UGA,Uganda,,78,78,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,SLV,El Salvador,,78.6,78.6,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,RWA,Rwanda,,80,80,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,COG,Congo,,21.2,21.2,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EUR,Europe,,KAZ,Kazakhstan,,40,40,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,SLV,El Salvador,,58.4,58.4,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,COL,Colombia,,86.7,86.7,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,BFA,Burkina Faso,,87.1,87.1,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,WPR,Western Pacific,,COK,Cook Islands,,100,100,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,SEAR,South-East Asia,,IND,India,,2.8,2.8,,,"Based on survey in New Delhi, India."
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,MEX,Mexico,,50,50,,,"Based on a survey in Mexico City, Mexico."
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,SEAR,South-East Asia,,IDN,Indonesia,,57.8,57.8,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EUR,Europe,,KGZ,Kyrgyzstan,,70,70,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,ECU,Ecuador,,71.1,71.1,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,ZMB,Zambia,,81.3,81.3,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,WPR,Western Pacific,,MNG,Mongolia,,90,90,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,BRA,Brazil,,0,0,,,"Based on a survey of medicine prices and availability in Rio Grande do Sul State, Brazil."
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,WPR,Western Pacific,,CHN,China,,15.5,15.5,,,"Simple average of three survey of medicine prices and availability in China (Shaanxi, Shandong and Shanghai provinces)."
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,31.9,31.9,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,UGA,Uganda,,70,70,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EMR,Eastern Mediterranean,,SYR,Syrian Arab Republic,,93,93,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EMR,Eastern Mediterranean,,OMN,Oman,,96.7,96.7,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EMR,Eastern Mediterranean,,IRN,Iran (Islamic Republic of),,96.7,96.7,,,
