Title: ,,,,,,
Timeframe: SFY2014,,,,,,
"For footnotes, please see: http://kff.org/other/state-indicator/state-collections/?currentTimeframe=0.",,,,,,
Location,Property Taxes,Sales and Gross Receipts Taxes,License Taxes,Income Taxes,Other Taxes,Total
Florida,$250 ,"$29,046,930 ","$2,133,240 ","$2,043,750 ","$2,160,180 ","$35,384,350 "
West Virginia,$0 ,"$2,560,993 ","$152,754 ","$1,973,974 ","$692,216 ","$5,379,937 "
Hawaii,N/A,"$3,847,662 ","$223,543 ","$1,871,506 ","$90,620 ","$6,033,331 "
Maine,"$35,755 ","$1,911,398 ","$254,251 ","$1,597,038 ","$48,739 ","$3,847,181 "
Idaho,N/A,"$1,821,303 ","$316,331 ","$1,528,077 ","$6,004 ","$3,671,715 "
New Mexico,"$105,637 ","$2,799,875 ","$282,382 ","$1,503,195 ","$1,066,343 ","$5,757,432 "
Tennessee,N/A,"$8,758,085 ","$1,335,392 ","$1,416,190 ","$296,662 ","$11,806,329 "
Delaware,N/A,"$480,352 ","$1,301,737 ","$1,319,213 ","$74,867 ","$3,176,169 "
Montana,"$268,508 ","$550,254 ","$314,271 ","$1,213,400 ","$309,120 ","$2,655,553 "
Rhode Island,"$2,591 ","$1,566,191 ","$132,146 ","$1,208,517 ","$56,530 ","$2,965,975 "
Vermont,"$985,478 ","$1,014,960 ","$109,996 ","$781,057 ","$71,040 ","$2,962,531 "
North Dakota,"$3,026 ","$1,848,130 ","$227,245 ","$748,966 ","$3,293,068 ","$6,120,435 "
New Hampshire,"$383,126 ","$877,035 ","$280,011 ","$635,590 ","$106,745 ","$2,282,507 "
Alaska,"$128,076 ","$257,696 ","$141,947 ","$408,938 ","$2,456,212 ","$3,392,869 "
South Dakota,N/A,"$1,296,748 ","$277,787 ","$24,819 ","$9,142 ","$1,608,496 "
Nevada,"$258,600 ","$5,714,197 ","$608,375 ",$0 ,"$561,997 ","$7,143,169 "
Texas,N/A,"$45,746,598 ","$3,499,902 ",$0 ,"$6,014,350 ","$55,260,850 "
Washington,"$1,974,354 ","$15,210,264 ","$1,414,960 ",$0 ,"$848,321 ","$19,447,899 "
Wyoming,"$300,096 ","$925,757 ","$148,092 ",$0 ,"$889,442 ","$2,263,387 "
District of Columbia,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,
Notes,,,,,,
Data are displayed in thousands of dollars.,,,,,,
,,,,,,
Sources,,,,,,
"U.S. Census Bureau, [2014 Annual Survey of State Government Tax Collections](http://www.census.gov/govs/statetax/), accessed May 15, 2015.",,,,,,
,,,,,,
Definitions,,,,,,
*N/A*: Data are only available for the 50 US States. Data are not available for the District of Columbia. All other N/As indicate that the tax does not exist in the state.,,,,,,
,,,,,,
"*State Fiscal Year (SFY)*: The statistics reflect state government fiscal years that end on June 30, except for four states with other ending dates: Alabama and Michigan (September 30), New York (March 31), and Texas (August 31).",,,,,,
